epoch,train_loss,val_loss,dice_background,dice_cat,dice_dog,dice_mean_foreground,learning_rate,epoch_time
1,1.546318,1.549087,0.836943,0.084333,0.425081,0.254707,0.0050000,181.39
2,1.370330,1.484982,0.851039,0.076095,0.454991,0.265543,0.0049775,191.43
3,1.308289,1.477856,0.866245,0.045789,0.479691,0.262740,0.0049550,181.52
4,1.262828,1.445802,0.867695,0.089605,0.476406,0.283005,0.0049324,183.54
5,1.225112,1.536257,0.866563,0.033447,0.500022,0.266735,0.0049099,182.33
6,1.189247,1.471621,0.882644,0.123365,0.479245,0.301305,0.0048874,179.99
7,1.162268,1.415450,0.887842,0.122812,0.511316,0.317064,0.0048648,182.83
8,1.133754,1.395339,0.890911,0.147238,0.524232,0.335735,0.0048422,182.43
9,1.091513,1.421149,0.893339,0.189437,0.525384,0.357411,0.0048196,179.98
10,1.027419,1.329528,0.894708,0.239366,0.516304,0.377835,0.0047970,180.31
11,0.992113,1.271978,0.899003,0.245337,0.517371,0.381354,0.0047744,179.92
12,0.948650,1.304933,0.900284,0.298684,0.513058,0.405871,0.0047518,179.82
13,0.921086,1.258820,0.897772,0.227777,0.518464,0.373121,0.0047292,179.91
14,0.889758,1.266518,0.904162,0.301683,0.518460,0.410071,0.0047065,179.92
15,0.856455,1.234707,0.905995,0.274097,0.536411,0.405254,0.0046839,179.86
16,0.834595,1.286056,0.908481,0.311707,0.531469,0.421588,0.0046612,179.74
17,0.811704,1.270810,0.903037,0.413462,0.531019,0.472241,0.0046385,180.18
18,0.781574,1.317691,0.909155,0.343186,0.542010,0.442598,0.0046158,180.07
19,0.774139,1.258302,0.905082,0.332849,0.537347,0.435098,0.0045931,179.52
20,0.760402,1.227753,0.907590,0.401759,0.543820,0.472789,0.0045704,180.54
21,0.746998,1.246788,0.901814,0.347714,0.535669,0.441691,0.0045477,182.64
22,0.719102,1.222050,0.908853,0.465944,0.541595,0.503769,0.0045249,182.14
23,0.703825,1.190862,0.912926,0.462629,0.543097,0.502863,0.0045022,183.44
24,0.712424,1.210390,0.912992,0.361978,0.536928,0.449453,0.0044794,192.51
25,0.697783,1.218921,0.915180,0.493461,0.551174,0.522318,0.0044566,191.65
26,0.681279,1.260624,0.914208,0.409276,0.574570,0.491923,0.0044338,185.81
27,0.662348,1.214149,0.915987,0.404268,0.569977,0.487123,0.0044110,180.86
28,0.670520,1.248967,0.914340,0.543558,0.550582,0.547070,0.0043882,185.75
29,0.666873,1.264510,0.914119,0.462884,0.570460,0.516672,0.0043653,184.59
30,0.665562,1.205813,0.915506,0.342294,0.550148,0.446221,0.0043425,189.12
31,0.633215,1.203164,0.917028,0.592066,0.554727,0.573396,0.0043196,190.32
32,0.643333,1.168632,0.917529,0.531666,0.558297,0.544981,0.0042968,188.23
33,0.645253,1.246233,0.915094,0.445397,0.590652,0.518025,0.0042739,184.08
34,0.635350,1.224769,0.915759,0.537751,0.572135,0.554943,0.0042510,183.90
35,0.636750,1.224056,0.918957,0.390785,0.564750,0.477767,0.0042281,191.26
36,0.630508,1.220847,0.920220,0.569833,0.555967,0.562900,0.0042051,185.44
37,0.614658,1.191245,0.912709,0.442667,0.545181,0.493924,0.0041822,184.23
38,0.626863,1.178391,0.921382,0.395807,0.575315,0.485561,0.0041592,185.58
39,0.605104,1.231637,0.920074,0.648905,0.584837,0.616871,0.0041362,181.03
40,0.605202,1.201904,0.921660,0.534451,0.562499,0.548475,0.0041133,181.00
41,0.599289,1.289547,0.922287,0.595535,0.557826,0.576680,0.0040903,179.42
42,0.603022,1.240147,0.917597,0.594614,0.554370,0.574492,0.0040672,179.81
43,0.592084,1.257535,0.922179,0.436538,0.601322,0.518930,0.0040442,181.21
44,0.579612,1.214222,0.921489,0.563380,0.585776,0.574578,0.0040212,184.50
45,0.576736,1.245981,0.919902,0.581105,0.565414,0.573259,0.0039981,180.41
46,0.577875,1.220319,0.922734,0.624900,0.567645,0.596272,0.0039750,180.10
47,0.591764,1.260978,0.921061,0.619831,0.585949,0.602890,0.0039520,181.74
48,0.579827,1.255994,0.920293,0.530320,0.563129,0.546725,0.0039288,181.67
49,0.579149,1.231059,0.923277,0.501187,0.584925,0.543056,0.0039057,183.57
50,0.585160,1.277114,0.920097,0.641858,0.578289,0.610073,0.0038826,182.21
51,0.575646,1.232571,0.922223,0.646326,0.560206,0.603266,0.0038594,184.22
52,0.555703,1.264529,0.923772,0.564025,0.583265,0.573645,0.0038363,184.96
53,0.565006,1.296723,0.922483,0.581641,0.585368,0.583504,0.0038131,187.32
54,0.559845,1.262263,0.922718,0.616467,0.559911,0.588189,0.0037899,190.42
