epoch,train_loss,val_loss,dice_background,dice_cat,dice_dog,dice_mean_foreground,learning_rate,epoch_time
1,1.326546,1.381753,0.850730,0.118711,0.305198,0.211955,0.0050000,167.97
2,1.117482,1.355017,0.863448,0.031698,0.418327,0.225013,0.0049775,162.72
3,1.046749,1.383716,0.870844,0.034288,0.438567,0.236428,0.0049550,166.35
4,1.004435,1.379231,0.873981,0.031827,0.445659,0.238743,0.0049324,166.27
5,0.972204,1.337108,0.887916,0.042118,0.473284,0.257701,0.0049099,166.92
6,0.946025,1.335018,0.895213,0.030111,0.508265,0.269188,0.0048874,167.35
7,0.917572,1.283435,0.901956,0.058462,0.513694,0.286078,0.0048648,161.28
8,0.895829,1.277475,0.901277,0.065479,0.509330,0.287404,0.0048422,168.02
9,0.865778,1.236434,0.907119,0.156592,0.515800,0.336196,0.0048196,182.91
10,0.841538,1.195535,0.906359,0.197347,0.509958,0.353653,0.0047970,185.94
11,0.812203,1.160160,0.910006,0.202239,0.520961,0.361600,0.0047744,176.20
12,0.792878,1.224408,0.911952,0.182939,0.530140,0.356539,0.0047518,176.10
13,0.770235,1.182750,0.910453,0.219563,0.528970,0.374266,0.0047292,187.48
14,0.746992,1.155935,0.911799,0.222281,0.537367,0.379824,0.0047065,177.08
15,0.729248,1.163667,0.913923,0.228315,0.541379,0.384847,0.0046839,173.98
16,0.710751,1.118654,0.916378,0.249891,0.539759,0.394825,0.0046612,187.89
17,0.692816,1.147589,0.916798,0.243942,0.544345,0.394144,0.0046385,170.97
18,0.672571,1.165634,0.919037,0.406882,0.555303,0.481092,0.0046158,167.91
19,0.659269,1.132747,0.918978,0.323366,0.553200,0.438283,0.0045931,166.82
20,0.638311,1.108027,0.919920,0.303740,0.543295,0.423517,0.0045704,173.89
21,0.624790,1.132820,0.921762,0.454585,0.563119,0.508852,0.0045477,171.51
22,0.616196,1.060572,0.922932,0.353139,0.559811,0.456475,0.0045249,173.99
23,0.600749,1.136559,0.923023,0.431186,0.564238,0.497712,0.0045022,178.68
24,0.594471,1.177210,0.921910,0.505950,0.563774,0.534862,0.0044794,182.80
25,0.584063,1.166448,0.923800,0.471512,0.566082,0.518797,0.0044566,171.24
26,0.571523,1.114798,0.924318,0.471083,0.562261,0.516672,0.0044338,160.06
27,0.565755,1.122715,0.924144,0.441879,0.558954,0.500416,0.0044110,159.18
28,0.558752,1.135489,0.924495,0.693614,0.566546,0.630080,0.0043882,159.09
29,0.555249,1.090682,0.926195,0.570913,0.568785,0.569849,0.0043653,159.08
30,0.544723,1.122836,0.925946,0.271774,0.559101,0.415437,0.0043425,159.16
31,0.538926,1.124149,0.926936,0.658082,0.572778,0.615430,0.0043196,159.19
32,0.535570,1.141832,0.925455,0.489907,0.560276,0.525092,0.0042968,159.32
33,0.522994,1.130844,0.929039,0.659135,0.572837,0.615986,0.0042739,159.27
34,0.519069,1.131490,0.927819,0.527687,0.572325,0.550006,0.0042510,159.55
35,0.514496,1.094929,0.929692,0.362202,0.571054,0.466628,0.0042281,159.40
36,0.507886,1.095632,0.928557,0.363707,0.569797,0.466752,0.0042051,159.16
37,0.502034,1.110137,0.929286,0.491752,0.572581,0.532166,0.0041822,159.15
38,0.500464,1.142091,0.928142,0.663090,0.572815,0.617953,0.0041592,159.54
39,0.494332,1.108937,0.929712,0.619070,0.577046,0.598058,0.0041362,159.51
40,0.496724,1.117667,0.929995,0.580210,0.577008,0.578609,0.0041133,159.54
41,0.488267,1.129703,0.927827,0.399096,0.571170,0.485133,0.0040903,159.31
42,0.483597,1.103082,0.928507,0.537238,0.613530,0.575384,0.0040672,159.48
43,0.490567,1.114134,0.930380,0.658642,0.577584,0.618113,0.0040442,159.48
